VehicleID,VehicleType,Depot,VehicleAge,OverspeedRate,FuelEfficiency,DowntimeRiskScore
VH-023,Truck,Abuja Depot,7,0.286,3.684,0.601
VH-013,Truck,Kano Depot,7,0.211,4.199,0.486
VH-007,Van,Ibadan Depot,6,0.188,6.123,0.435
VH-022,Truck,Kano Depot,5,0.133,4.272,0.363
VH-011,Van,Lagos Depot,6,0.222,7.079,0.358
VH-009,Van,Abuja Depot,6,0.16,7.529,0.337
VH-025,Truck,Port Harcourt Depot,4,0.235,4.231,0.332
VH-016,Truck,Lagos Depot,4,0.143,4.062,0.313
VH-024,Truck,Lagos Depot,5,0.143,3.641,0.276
VH-008,Truck,Kano Depot,4,0.19,3.694,0.252
VH-010,Van,Abuja Depot,6,0.238,6.882,0.242
VH-006,Van,Lagos Depot,4,0.176,6.218,0.241
VH-004,Truck,Ibadan Depot,3,0.217,3.631,0.232
VH-019,Truck,Lagos Depot,3,0.2,3.513,0.23
VH-005,Van,Ibadan Depot,4,0.115,6.423,0.222
VH-012,Van,Port Harcourt Depot,4,0.174,7.359,0.2
VH-017,Van,Abuja Depot,2,0.143,6.843,0.158
VH-002,SUV,Abuja Depot,5,0.174,7.844,0.154
VH-021,Van,Port Harcourt Depot,2,0.118,7.16,0.134
VH-003,Truck,Kano Depot,2,0.19,4.502,0.12
VH-014,SUV,Port Harcourt Depot,5,0.16,7.975,0.113
VH-018,Truck,Abuja Depot,1,0.16,3.985,0.094
VH-015,Van,Abuja Depot,1,0.143,7.22,0.073
VH-020,Van,Lagos Depot,1,0.083,6.524,0.067
VH-001,SUV,Ibadan Depot,1,0.105,8.497,0.062
