WarehouseID,ProductID,CurrentStock,SnapshotDate
1,1,19,2025-09-01
1,2,7,2025-09-01
1,3,72,2025-09-01
1,4,10,2025-09-01
1,5,517,2025-09-01
1,6,572,2025-09-01
1,7,6,2025-09-01
1,8,28,2025-09-01
1,9,96,2025-09-01
1,10,88,2025-09-01
2,1,22,2025-09-01
2,2,21,2025-09-01
2,3,204,2025-09-01
2,4,23,2025-09-01
2,5,57,2025-09-01
2,6,78,2025-09-01
2,7,2,2025-09-01
2,8,91,2025-09-01
2,9,560,2025-09-01
2,10,12,2025-09-01
3,1,87,2025-09-01
3,3,32,2025-09-01
3,4,99,2025-09-01
3,6,324,2025-09-01
3,7,18,2025-09-01
3,8,12,2025-09-01
3,9,204,2025-09-01
3,10,86,2025-09-01
4,1,25,2025-09-01
4,2,57,2025-09-01
4,3,9,2025-09-01
4,4,37,2025-09-01
4,5,300,2025-09-01
4,7,5,2025-09-01
4,8,194,2025-09-01
4,9,287,2025-09-01
4,10,94,2025-09-01
5,1,31,2025-09-01
5,2,3,2025-09-01
5,3,12,2025-09-01
5,4,113,2025-09-01
5,5,189,2025-09-01
5,6,45,2025-09-01
5,7,31,2025-09-01
5,8,11,2025-09-01
5,9,337,2025-09-01
5,10,202,2025-09-01
