EmployeeID,Department,JobRole,AttritionRiskScore
5371,HR,Recruiter,0.8075202781449949
5180,Customer Support,Support Lead,0.669613695751929
5256,Operations,Ops Analyst,0.6531818515426931
5226,Operations,Ops Manager,0.6431975360895135
5160,Customer Support,Support Lead,0.6404455451049768
5350,HR,HR Generalist,0.6375340314526511
5326,HR,Recruiter,0.619836476309774
5083,Engineering,QA Engineer,0.6162377004323695
5189,Operations,Ops Manager,0.6038640684138339
5244,Operations,Ops Manager,0.5873243423411897
5004,Sales,Account Manager,0.5797397483111328
5195,Operations,Ops Analyst,0.5740694496398705
5137,Customer Support,Support Lead,0.5712184898321918
5087,Engineering,Software Engineer,0.5522112328288634
5232,Operations,Ops Analyst,0.5317060355991194
